wrong_text,correct_text
الولد نسي ياخد الشنطه,نسي الولد أن يأخذ الحقيبة
هو راح المدرسه متاخر,هو ذهب إلى المدرسة متأخرًا
مش عارف اعمل ايه,لا أعلم ماذا أفعل
انا بحب اقرا كتب تاريخ,أنا أحب قراءة كتب التاريخ
هي بتحب تروح الجامعه بدري,تحب الذهاب إلى الجامعة مبكرًا
هو راح المدرسه متاخر,هو ذهب إلى المدرسة متأخرًا
كنا بنذاكر لحد متأخر,كنا نذاكر حتى وقت متأخر
كنا بنذاكر لحد متأخر,كنا نذاكر حتى وقت متأخر
لسا موصلتش الشغل,لم أصل إلى العمل بعد
الولد نسي ياخد الشنطه,نسي الولد أن يأخذ الحقيبة
لسا صاحي من النوم,استيقظت للتو من النوم
كنا بنذاكر لحد متأخر,كنا نذاكر حتى وقت متأخر
محدش جالي امبارح,لم يزرني أحد بالأمس
نسي يحط الموبايل ف الشاحن,نسي وضع الهاتف في الشاحن
الجو جميل وانا فرحان,الجو جميل وأنا سعيد
لسا موصلتش الشغل,لم أصل إلى العمل بعد
هي بتحب تروح الجامعه بدري,تحب الذهاب إلى الجامعة مبكرًا
مفيش حد فهم الدرس,لم يفهم أحد الدرس
كنا بنذاكر لحد متأخر,كنا نذاكر حتى وقت متأخر
هي بتحب تروح الجامعه بدري,تحب الذهاب إلى الجامعة مبكرًا
احنا تعبنا اوي النهارده,تعبنا كثيرًا اليوم
هي بتحب تروح الجامعه بدري,تحب الذهاب إلى الجامعة مبكرًا
الجو جميل وانا فرحان,الجو جميل وأنا سعيد
لسا صاحي من النوم,استيقظت للتو من النوم
انا بحب اقرا كتب تاريخ,أنا أحب قراءة كتب التاريخ
انا بحب اقرا كتب تاريخ,أنا أحب قراءة كتب التاريخ
هو راح المدرسه متاخر,هو ذهب إلى المدرسة متأخرًا
انا بحب اقرا كتب تاريخ,أنا أحب قراءة كتب التاريخ
الاكل كان طعمه وحش,كان طعم الطعام سيئًا
الاكل كان طعمه وحش,كان طعم الطعام سيئًا
محدش جالي امبارح,لم يزرني أحد بالأمس
لسا صاحي من النوم,استيقظت للتو من النوم
لسا موصلتش الشغل,لم أصل إلى العمل بعد
الولد نسي ياخد الشنطه,نسي الولد أن يأخذ الحقيبة
هي بتحب تروح الجامعه بدري,تحب الذهاب إلى الجامعة مبكرًا
مش عارف اعمل ايه,لا أعلم ماذا أفعل
نسي يحط الموبايل ف الشاحن,نسي وضع الهاتف في الشاحن
انا جعان وعاوز اكل,أنا جائع وأريد أن أتناول الطعام
لسا موصلتش الشغل,لم أصل إلى العمل بعد
الجو جميل وانا فرحان,الجو جميل وأنا سعيد
احنا تعبنا اوي النهارده,تعبنا كثيرًا اليوم
هي بتحب تروح الجامعه بدري,تحب الذهاب إلى الجامعة مبكرًا
انا بحب اقرا كتب تاريخ,أنا أحب قراءة كتب التاريخ
الاكل كان طعمه وحش,كان طعم الطعام سيئًا
الجو جميل وانا فرحان,الجو جميل وأنا سعيد
نسي يحط الموبايل ف الشاحن,نسي وضع الهاتف في الشاحن
محدش جالي امبارح,لم يزرني أحد بالأمس
هو راح المدرسه متاخر,هو ذهب إلى المدرسة متأخرًا
محدش جالي امبارح,لم يزرني أحد بالأمس
لسا موصلتش الشغل,لم أصل إلى العمل بعد
مفيش حد فهم الدرس,لم يفهم أحد الدرس
انا بحب اقرا كتب تاريخ,أنا أحب قراءة كتب التاريخ
كنا بنذاكر لحد متأخر,كنا نذاكر حتى وقت متأخر
انا جعان وعاوز اكل,أنا جائع وأريد أن أتناول الطعام
هو راح المدرسه متاخر,هو ذهب إلى المدرسة متأخرًا
الاكل كان طعمه وحش,كان طعم الطعام سيئًا
احنا تعبنا اوي النهارده,تعبنا كثيرًا اليوم
هي بتحب تروح الجامعه بدري,تحب الذهاب إلى الجامعة مبكرًا
لسا موصلتش الشغل,لم أصل إلى العمل بعد
كنا بنذاكر لحد متأخر,كنا نذاكر حتى وقت متأخر
هي بتحب تروح الجامعه بدري,تحب الذهاب إلى الجامعة مبكرًا
هو راح المدرسه متاخر,هو ذهب إلى المدرسة متأخرًا
نسي يحط الموبايل ف الشاحن,نسي وضع الهاتف في الشاحن
انا جعان وعاوز اكل,أنا جائع وأريد أن أتناول الطعام
نسي يحط الموبايل ف الشاحن,نسي وضع الهاتف في الشاحن
